Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7, C8, C9",0805,15,0.1uF,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",SK6812-MINI-E,15,SK6812MINI-E,
LEDPads1,Led Pads,1,~,
R1,0805,1,220R,
